,episodes,name,contentId,content,showTime,likeCount
154,第七集,未知用户,1593103079223005025,都是有钱人给我高调点,26,0
155,第七集,张东升 ,1592731275701008367,能不能嚣张点,26,2
156,第七集,未知用户,1592579235786008070,等到周二它不香吗,27,27
157,第七集,张东升 ,1593071916680008849,去爬山吗,27,1
158,第七集,未知用户,1592625299550005973,感觉自己做了单大生意,27,12
159,第七集,张东升 ,1592871167155005462,花了3块钱说话狂一点,27,3
160,第七集,未知用户,1592557980093007797,居然当了回有钱人,27,5
161,第七集,朱朝阳,1592633622538007330,永垂不朽！!!,27,1
162,第七集,未知用户,1592547866678005862,花钱看的格外香,28,17
163,第七集,朱朝阳,1592642424368002138,大佬来了让开让开,28,7
164,第七集,未知用户,1592914952286004620,留下有钱人的足迹,28,7
165,第七集,普普,1592791604978004357,好起来了,28,0
166,第七集,未知用户,1593063062356003947,周春红长得像王学圻,28,0
167,第七集,张东升 ,1592913906415000181,花了钱的，说话嚣张点,28,0
168,第七集,未知用户,1592844067479006852,在座的有钱人好,29,5
169,第七集,普普,1592667911652007499,这部剧每个人物都演的好,29,9
170,第七集,未知用户,1592562828186007442,星钻是个好东西,29,21
171,第七集,张东升 ,1592577165418005584,最终还是花钱了,29,3
172,第七集,未知用户,1592984197781003896,钰酱你看到这里了吗,29,1
173,第七集,张东升 ,1593076825291007648,是这样么,29,0
174,第七集,未知用户,1592485828664009804,富贵使我们相遇,30,54
175,第七集,朱永平,1592492874088004340,爸爸就是有钱！,30,6
176,第七集,未知用户,1593044553318000436,有钱人的微笑,30,1
177,第七集,张东升 ,1592902941842005949,花钱来的嚣张一点,30,2
178,第七集,未知用户,1593091260172001658,这剧后期真是厉害啊,30,0
179,第七集,张东升 ,1592913772138001651,30万真没有,30,0
180,第七集,未知用户,1592532470495000059,都是有钱人说话大声点,31,30
181,第七集,张东升 ,1593042400738007280,下一個就是你,31,0
182,第七集,未知用户,1592580911010005488,真香，还是买了,31,13
183,第七集,张东升 ,1592833600693001535,我，有钱人,31,0
184,第七集,未知用户,1593098925295002529,是富贵让我们相遇,31,0
185,第七集,张东升 ,1592965503820007622,在座的都是花钱的说话硬气点,31,0
186,第七集,朱朝阳,1592997994157006816,我很舒服没花钱,32,2
187,第七集,小岁月_wx1906,1592487300957003772,我花钱了。必须证明一下,32,2044
188,第七集,未知用户,1593105106919002180,免费的它不香嘛？,32,15
189,第七集,张东升 ,1593085441568003964,杀几个人算什么,32,0
190,第七集,未知用户,1592548221137007787,我们太有钱了吧,32,26
191,第七集,未知用户,1592977606168002317,都充钱了大胆点好吗,33,5
192,第七集,普普,1592787482830006594,有钱人就是不一样,33,1
193,第七集,未知用户,1592662943072009229,花了钱说话硬气点,33,14
194,第七集,张东升 ,1592575579768003920,早知道直接开星钻了,33,1
195,第七集,未知用户,1593013202759004578,有钱人你们好。,33,0
196,第七集,普普,1592679700974000347,半夜三点了还在看,33,0
197,第七集,未知用户,1592486184045000579,星钻不香吗,34,16
198,第七集,普普,1593040890591009402,我有钱吗，兄弟萌,34,2
199,第七集,未知用户,1593079318418007753,这剧真是太好了,34,0
200,第七集,张东升 ,1592892676431001042,哎你们都听见没有,34,3
201,第七集,未知用户,1593069455330003408,自行车演的真好,34,0
202,第七集,普普,1592643534740009828,支持正版,34,7
203,第七集,未知用户,1592489691363005911,18元解锁的来这,35,152
204,第七集,普普,1592875906895009988,证明自己花钱了好剧,35,4
205,第七集,未知用户,1593085902738006043,果然有钱就是任性,35,0
